Time	Ref	Planta	Derivada1
0.636000	0.593982	0.529733	1.517375
0.640000	0.597195	0.533107	1.535480
0.644000	0.600399	0.536471	1.553662
0.648000	0.603593	0.539827	1.571920
0.652000	0.606777	0.543175	1.590248
0.656000	0.609952	0.546514	1.608644
0.660000	0.613117	0.549844	1.627102
0.664000	0.616272	0.553165	1.645617
0.668000	0.619417	0.556478	1.664182
0.672000	0.622552	0.559782	1.682790
0.676000	0.625678	0.563076	1.701433
0.680000	0.628793	0.566362	1.720098
0.684000	0.631898	0.569639	1.738771
0.688000	0.634993	0.572907	1.757433
0.692000	0.638078	0.576165	1.776052
0.696000	0.641153	0.579415	1.794575
0.700000	0.644218	0.582655	1.812841
0.704000	0.647272	0.585886	1.830382
0.708000	0.650316	0.589107	1.847750
0.712000	0.653349	0.592319	1.865014
0.716000	0.656372	0.595522	1.882206
0.720000	0.659385	0.598715	1.899345
0.724000	0.662387	0.601899	1.916444
0.728000	0.665378	0.605073	1.933512
0.732000	0.668359	0.608237	1.950555
0.736000	0.671329	0.611391	1.967579
0.740000	0.674288	0.614536	1.984588
0.744000	0.677236	0.617671	2.001584
0.748000	0.680174	0.620796	2.018571
0.752000	0.683101	0.623912	2.035551
0.756000	0.686017	0.627017	2.052524
0.760000	0.688921	0.630112	2.069493
0.764000	0.691815	0.633197	2.086458
0.768000	0.694698	0.636272	2.103420
0.772000	0.697570	0.639337	2.120381
0.776000	0.700430	0.642392	2.137340
0.780000	0.703279	0.645436	2.154298
0.784000	0.706117	0.648470	2.171255
0.788000	0.708944	0.651494	2.188211
0.792000	0.711760	0.654507	2.205167
0.796000	0.714564	0.657510	2.222121
0.800000	0.717356	0.660502	2.239075
0.804000	0.720137	0.663484	2.256028
0.808000	0.722907	0.666455	2.272980
0.812000	0.725665	0.669416	2.289930
0.816000	0.728411	0.672365	2.306878
0.820000	0.731146	0.675305	2.323825
0.824000	0.733869	0.678233	2.340768
0.828000	0.736580	0.681150	2.357709
0.832000	0.739280	0.684057	2.374646
0.836000	0.741967	0.686952	2.391579
0.840000	0.744643	0.689837	2.408507
0.844000	0.747307	0.692710	2.425431
0.848000	0.749959	0.695573	2.442349
0.852000	0.752599	0.698424	2.459260
0.856000	0.755227	0.701264	2.476165
0.860000	0.757843	0.704093	2.493063
0.864000	0.760446	0.706911	2.509952
0.868000	0.763038	0.709717	2.526833
0.872000	0.765617	0.712512	2.543705
0.876000	0.768184	0.715296	2.560566
0.880000	0.770739	0.718068	2.577417
0.884000	0.773281	0.720828	2.594256
0.888000	0.775811	0.723578	2.611084
0.892000	0.778329	0.726315	2.627898
0.896000	0.780834	0.729041	2.644699
0.900000	0.783327	0.731755	2.661486
0.904000	0.785807	0.734458	2.678258
0.908000	0.788275	0.737149	2.695014
0.912000	0.790730	0.739828	2.711753
0.916000	0.793172	0.742495	2.728475
0.920000	0.795602	0.745150	2.745179
0.924000	0.798019	0.747794	2.761865
0.928000	0.800423	0.750425	2.778531
0.932000	0.802814	0.753045	2.795176
0.936000	0.805192	0.755652	2.811801
0.940000	0.807558	0.758247	2.828403
0.944000	0.809911	0.760831	2.844983
0.948000	0.812251	0.763402	2.861539
0.952000	0.814577	0.765960	2.878071
0.956000	0.816891	0.768507	2.894578
0.960000	0.819192	0.771041	2.911059
0.964000	0.821479	0.773563	2.927514
0.968000	0.823753	0.776073	2.943940
0.972000	0.826015	0.778570	2.960339
0.976000	0.828263	0.781054	2.976708
0.980000	0.830497	0.783526	2.993048
0.984000	0.832719	0.785986	3.009356
0.988000	0.834927	0.788433	3.025633
0.992000	0.837122	0.790868	3.041878
0.996000	0.839303	0.793289	3.058089
1.000000	0.841471	0.795698	3.074267
1.004000	0.843625	0.798095	3.090409
1.008000	0.845766	0.800478	3.106516
1.012000	0.847894	0.802849	3.122587
1.016000	0.850008	0.805207	3.138620
1.020000	0.852108	0.807552	3.154614
1.024000	0.854195	0.809884	3.170570
1.028000	0.856268	0.812203	3.186486
1.032000	0.858327	0.814510	3.202361
1.036000	0.860372	0.816803	3.218195
1.040000	0.862404	0.819083	3.233987
1.044000	0.864422	0.821350	3.249735
1.048000	0.866426	0.823604	3.265439
1.052000	0.868417	0.825844	3.281099
1.056000	0.870393	0.828072	3.296713
1.060000	0.872355	0.830286	3.312280
1.064000	0.874304	0.832487	3.327800
1.068000	0.876239	0.834674	3.343272
1.072000	0.878159	0.836849	3.358695
1.076000	0.880065	0.839009	3.374068
1.080000	0.881958	0.841157	3.389390
1.084000	0.883836	0.843291	3.404661
1.088000	0.885700	0.845411	3.419880
1.092000	0.887550	0.847518	3.435045
1.096000	0.889386	0.849612	3.450157
1.100000	0.891207	0.851691	3.465213
1.104000	0.893015	0.853758	3.480214
1.108000	0.894808	0.855810	3.495159
1.112000	0.896586	0.857849	3.510046
1.116000	0.898351	0.859874	3.524875
1.120000	0.900100	0.861885	3.539645
1.124000	0.901836	0.863883	3.554356
1.128000	0.903557	0.865867	3.569005
1.132000	0.905264	0.867836	3.583593
1.136000	0.906956	0.869792	3.598119
1.140000	0.908633	0.871734	3.612582
1.144000	0.910297	0.873663	3.626981
1.148000	0.911945	0.875577	3.641315
1.152000	0.913579	0.877477	3.655584
1.156000	0.915198	0.879363	3.669786
1.160000	0.916803	0.881235	3.683920
1.164000	0.918393	0.883093	3.697987
1.168000	0.919968	0.884937	3.711985
1.172000	0.921529	0.886766	3.725913
1.176000	0.923075	0.888582	3.739771
1.180000	0.924606	0.890383	3.753557
1.184000	0.926122	0.892170	3.767271
1.188000	0.927624	0.893943	3.780912
1.192000	0.929110	0.895701	3.794479
1.196000	0.930582	0.897445	3.807972
1.200000	0.932039	0.899175	3.821389
1.204000	0.933481	0.900890	3.834730
1.208000	0.934908	0.902591	3.847993
1.212000	0.936320	0.904277	3.861179
1.216000	0.937717	0.905949	3.874286
1.220000	0.939099	0.907607	3.887314
1.224000	0.940466	0.909250	3.900261
1.228000	0.941818	0.910878	3.913127
1.232000	0.943155	0.912492	3.925911
1.236000	0.944477	0.914091	3.938612
1.240000	0.945784	0.915676	3.951230
1.244000	0.947076	0.917246	3.963763
1.248000	0.948352	0.918801	3.976211
1.252000	0.949613	0.920342	3.988573
1.256000	0.950859	0.921868	4.000848
1.260000	0.952090	0.923379	4.013036
